Tm,Week,Percent Capacity,Year,Away Team Wins,Home Team Wins,Time,International
BUF,1,0.9708272818679478,2013,0,0,0,0
CAR,1,0.9789894078833131,2013,0,0,0,0
CHI,1,1.0115934959349593,2013,0,0,0,0
CLE,1,1.0605359552727973,2013,0,0,0,0
DAL,1,1.06685,2013,0,0,0,0
DEN,1,1.011192118226601,2013,0,0,0,0
DET,1,0.9609384615384615,2013,0,0,0,0
IND,1,0.9762985074626865,2013,0,0,0,0
JAX,1,0.8758512927857542,2013,0,0,0,0
LAC,1,0.8435538045095733,2013,0,0,0,0
LAR,1,0.837560606060606,2013,0,0,0,0
NO,1,0.9882526499836084,2013,0,0,0,0
NYJ,1,0.9328121212121212,2013,0,0,0,0
PIT,1,0.9003654970760234,2013,0,0,0,0
SF,1,1.0,2013,0,0,0,0
WAS,1,0.9734470588235294,2013,0,0,0,0
ARI,2,0.9469085173501577,2013,1,0,0,0
ATL,2,0.9835457965968439,2013,1,0,0,0
BAL,2,1.0012674628210905,2013,0,0,0,0
BUF,2,0.9470869176628309,2013,0,0,0,0
CHI,2,1.0110731707317073,2013,0,1,0,0
CIN,2,0.9858047775318629,2013,0,0,0,0
GB,2,0.9579941307203989,2013,0,0,0,0
HOU,2,0.9930490168928274,2013,1,1,0,0
IND,2,0.9762089552238806,2013,1,1,0,0
KC,2,1.0070142378559463,2013,1,1,0,0
LV,2,0.8812458747346451,2013,0,0,0,0
NE,2,1.0288347872929418,2013,1,1,0,0
NYG,2,0.9852727272727273,2013,1,0,0,0
PHI,2,0.9935053738720616,2013,0,1,0,0
SEA,2,0.9904057971014493,2013,1,1,0,0
TB,2,0.879395532953856,2013,1,0,0,0
BAL,3,1.0022532672374944,2013,2,1,0,0
CAR,3,0.9850534948642259,2013,0,0,0,0
CIN,3,0.9865374341753796,2013,1,1,0,0
DAL,3,1.0106,2013,1,1,0,0
DEN,3,1.0112052545155994,2013,1,2,0,0
MIA,3,1.0816520221657533,2013,1,2,0,0
MIN,3,0.9929976138862463,2013,0,0,0,0
NE,3,1.0288347872929418,2013,0,2,0,0
NO,3,0.9979373838924708,2013,1,2,0,0
NYJ,3,0.9328121212121212,2013,1,1,0,0
PHI,3,0.9935053738720616,2013,2,1,0,0
PIT,3,0.9002192982456141,2013,2,0,0,0
SEA,3,0.986768115942029,2013,0,2,0,0
SF,3,1.0,2013,1,1,0,0
TEN,3,1.0,2013,1,1,0,0
WAS,3,0.9424823529411764,2013,1,0,0,0
ATL,4,0.9932049194137137,2013,3,1,0,0
BUF,4,0.9537481845603843,2013,2,1,0,0
CLE,4,1.0600613960937848,2013,2,1,0,0
DEN,4,1.01152052545156,2013,1,3,0,0
DET,4,0.9931076923076924,2013,3,2,0,0
HOU,4,0.9935751869288286,2013,3,2,0,0
JAX,4,0.8799640319584894,2013,2,0,0,0
KC,4,0.9603486180904522,2013,0,3,0,0
LAC,4,0.9722226158926319,2013,2,1,0,0
LAR,4,0.8581818181818182,2013,1,1,0,0
LV,4,0.9552598248211642,2013,0,1,0,0
MIN,4,0.971139534883721,2013,0,0,0,1
NO,4,0.9987706261610753,2013,3,3,0,0
TB,4,0.6494842382039354,2013,1,0,0,0
TEN,4,1.0,2013,2,2,0,0
ARI,5,0.9530914826498422,2013,1,2,0,0
ATL,5,0.9862132869096423,2013,2,1,0,0
CHI,5,1.014,2013,4,3,0,0
CIN,5,0.9808288178279784,2013,4,2,0,0
CLE,5,1.0564725423025019,2013,2,2,0,0
DAL,5,1.159475,2013,4,2,0,0
GB,5,0.9602043196915558,2013,3,1,0,0
IND,5,0.9941492537313433,2013,4,3,0,0
LAR,5,0.8222121212121212,2013,0,1,0,0
LV,5,0.8711490090443655,2013,2,1,0,0
MIA,5,1.0461684474787987,2013,2,3,0,0
NYG,5,0.9786424242424242,2013,1,0,0,0
SF,5,1.0,2013,2,2,0,0
TEN,5,1.0,2013,4,3,0,0
BAL,6,1.0043797881928798,2013,2,3,0,0
BUF,6,0.9459697240531784,2013,3,2,0,0
CHI,6,1.0142113821138212,2013,0,3,0,0
CLE,6,1.0605359552727973,2013,3,3,0,0
DAL,6,1.1279875,2013,1,2,0,0
DEN,6,1.00968144499179,2013,0,5,0,0
HOU,6,0.9845472168374412,2013,2,2,0,0
KC,6,0.9997121021775545,2013,2,5,0,0
LAC,6,0.8213318972236788,2013,4,2,0,0
MIN,6,0.9975359086726657,2013,1,1,0,0
NE,6,1.0288347872929418,2013,5,4,0,0
NYJ,6,0.9328121212121212,2013,0,3,0,0
SEA,6,0.9873478260869565,2013,3,4,0,0
SF,6,1.0,2013,3,3,0,0
TB,6,0.9030165563870669,2013,2,0,0,0
ARI,7,0.9652996845425867,2013,5,3,0,0
ATL,7,0.9760487448756107,2013,0,1,0,0
CAR,7,0.9708683398560113,2013,3,2,0,0
DET,7,0.9724153846153846,2013,4,4,0,0
GB,7,0.9553419039550104,2013,3,3,0,0
IND,7,1.0029253731343284,2013,6,4,0,0
JAX,7,0.8778265868687166,2013,3,0,0,0
KC,7,0.9699277638190955,2013,2,6,0,0
MIA,7,0.9275326822398432,2013,2,3,0,0
NYG,7,0.9613818181818182,2013,1,0,0,0
NYJ,7,0.9328121212121212,2013,5,3,0,0
PHI,7,0.9935053738720616,2013,3,3,0,0
PIT,7,0.9107456140350877,2013,3,1,0,0
TEN,7,1.0,2013,4,3,0,0
WAS,7,0.9782,2013,4,1,0,0
ARI,8,0.9569558359621451,2013,2,3,0,0
CIN,8,0.9551400442646722,2013,4,5,0,0
DEN,8,1.0119014778325124,2013,2,6,0,0
DET,8,0.9904461538461539,2013,4,4,0,0
JAX,8,0.9716162790697674,2013,5,0,0,1
KC,8,0.972401067839196,2013,3,7,0,0
LAR,8,0.8479696969696969,2013,6,3,0,0
LV,8,0.9445742726153736,2013,2,2,0,0
MIN,8,1.0002027416914896,2013,4,1,0,0
NE,8,1.0288347872929418,2013,3,5,0,0
NO,8,0.9890312534149274,2013,3,5,0,0
PHI,8,0.9935053738720616,2013,1,3,0,0
TB,8,0.853434077841024,2013,3,0,0,0
BUF,9,0.9518349905038543,2013,8,3,0,0
CAR,9,0.984679498310337,2013,2,4,0,0
CLE,9,1.0605359552727973,2013,3,3,0,0
DAL,9,1.067,2013,1,4,0,0
GB,9,0.9592465711373878,2013,4,5,0,0
HOU,9,0.9938798116865134,2013,5,2,0,0
LAR,9,0.8275303030303031,2013,3,3,0,0
LV,9,0.9231853292184741,2013,3,3,0,0
MIA,9,0.8019471573339865,2013,6,3,0,0
NE,9,1.0288347872929418,2013,2,6,0,0
NYJ,9,0.9328121212121212,2013,6,4,0,0
SEA,9,0.9836666666666667,2013,0,7,0,0
WAS,9,0.9425294117647058,2013,4,2,0,0
ARI,10,0.9597003154574133,2013,2,4,0,0
ATL,10,0.9870977705396754,2013,8,2,0,0
BAL,10,0.9997746732762506,2013,6,3,0,0
CHI,10,1.015138211382114,2013,5,5,0,0
GB,10,0.957883621271841,2013,4,5,0,0
IND,10,0.9851343283582089,2013,3,6,0,0
LAC,10,0.9757089610408016,2013,7,4,0,0
MIN,10,0.998284493379704,2013,3,1,0,0
NO,10,0.9974046552289367,2013,5,6,0,0
NYG,10,0.9741333333333333,2013,3,2,0,0
PIT,10,0.8831286549707602,2013,3,2,0,0
SF,10,1.0,2013,5,6,0,0
TB,10,0.9310872894333844,2013,4,0,0,0
TEN,10,1.0,2013,0,4,0,0
BUF,11,0.9501173053290135,2013,5,3,0,0
CAR,11,0.9914247933001189,2013,7,6,0,0
CHI,11,1.0140975609756098,2013,4,5,0,0
CIN,11,0.9746775547584523,2013,4,6,0,0
DEN,11,1.0124926108374384,2013,9,8,0,0
HOU,11,0.9931597895319856,2013,3,2,0,0
JAX,11,0.8824257790618827,2013,5,1,0,0
MIA,11,0.9223892477727091,2013,4,4,0,0
NO,11,0.9975002731941864,2013,6,7,0,0
NYG,11,0.9589575757575758,2013,5,3,0,0
PHI,11,0.9935053738720616,2013,3,5,0,0
PIT,11,0.8465643274853801,2013,6,3,0,0
SEA,11,0.9889130434782609,2013,2,9,0,0
TB,11,0.7997919616284781,2013,2,1,0,0
TEN,11,1.0,2013,6,4,0,0
ARI,12,0.9602839116719243,2013,7,6,0,0
ATL,12,0.9886842253046555,2013,8,2,0,0
BAL,12,1.0019716088328077,2013,5,4,0,0
CLE,12,1.0605359552727973,2013,4,4,0,0
DET,12,0.9553538461538461,2013,2,6,0,0
GB,12,0.9561645854053855,2013,0,0,0,0
HOU,12,0.9922320686790362,2013,1,2,0,0
KC,12,0.9848591917922948,2013,4,9,0,0
LAR,12,1.0003636363636363,2013,6,4,0,0
LV,12,0.8206111636370124,2013,4,4,0,0
MIA,12,0.9208584637051097,2013,7,5,0,0
NE,12,1.0288347872929418,2013,9,7,0,0
NYG,12,0.9757454545454546,2013,5,4,0,0
WAS,12,0.9385058823529412,2013,6,3,0,0
BAL,13,0.999957751239297,2013,5,5,0,0
BUF,13,0.5441989721818791,2013,2,4,0,0
CAR,13,0.9723242550122216,2013,3,8,0,0
CLE,13,1.032967032967033,2013,2,4,0,0
DAL,13,1.09465,2013,4,6,0,0
DET,13,0.9989846153846154,2013,0,6,0,0
HOU,13,0.9937551924674606,2013,8,2,0,0
IND,13,0.9776417910447761,2013,5,7,0,0
KC,13,1.008492985762144,2013,9,9,0,0
LAC,13,0.8720964838933689,2013,7,5,0,0
MIN,13,1.0002027416914896,2013,6,-1,0,0
NYJ,13,0.9328121212121212,2013,5,5,0,0
PHI,13,0.9935053738720616,2013,7,6,0,0
SEA,13,0.9911159420289855,2013,9,10,0,0
SF,13,1.0,2013,5,7,0,0
WAS,13,0.8849411764705882,2013,4,3,0,0
ARI,14,0.9565141955835962,2013,5,7,0,0
BAL,14,0.9987747859396124,2013,0,6,0,0
CHI,14,1.0118536585365854,2013,7,6,0,0
CIN,14,0.9540868503396169,2013,8,8,0,0
DEN,14,1.0056354679802955,2013,5,10,0,0
GB,14,0.9522230817401555,2013,3,-1,0,0
JAX,14,0.8905628114036381,2013,2,3,0,0
LAC,14,0.9230594804495401,2013,5,5,0,0
NE,14,1.0288347872929418,2013,4,9,0,0
NO,14,0.9983744945907551,2013,9,9,0,0
NYJ,14,0.9328121212121212,2013,4,5,0,0
PHI,14,0.9935053738720616,2013,7,7,0,0
PIT,14,0.7673830409356726,2013,6,5,0,0
SF,14,1.0,2013,11,8,0,0
TB,14,0.8551821780461729,2013,4,3,0,0
WAS,14,0.6617294117647059,2013,9,3,0,0
ATL,15,0.9837283090919301,2013,3,3,0,0
CAR,15,0.978415056032698,2013,6,9,0,0
CLE,15,1.0605359552727973,2013,7,4,0,0
DAL,15,1.138175,2013,-1,7,0,0
DEN,15,1.004886699507389,2013,6,11,0,0
DET,15,0.9960307692307693,2013,7,7,0,0
IND,15,0.9771641791044776,2013,2,8,0,0
JAX,15,0.885713022199947,2013,4,4,0,0
LAR,15,0.8854848484848484,2013,10,5,0,0
LV,15,0.8842963412241112,2013,10,4,0,0
MIA,15,1.1000673544989743,2013,10,7,0,0
MIN,15,0.9994697524991812,2013,8,-1,0,0
NYG,15,0.9659515151515151,2013,11,5,0,0
PIT,15,0.6706578947368421,2013,9,5,0,0
TB,15,0.9266664740385449,2013,9,4,0,0
TEN,15,1.0,2013,8,5,0,0
BAL,16,1.0059852410995944,2013,10,8,0,0
BUF,16,0.7583649871522735,2013,8,5,0,0
CAR,16,0.9860819853874203,2013,10,10,0,0
CIN,16,0.9395558269098679,2013,0,9,0,0
DET,16,0.9845538461538461,2013,5,7,0,0
GB,16,0.9577362753404305,2013,6,0,0,0
HOU,16,0.9936444198283024,2013,11,2,0,0
JAX,16,0.8927002564934108,2013,5,4,0,0
KC,16,0.9866520100502513,2013,9,11,0,0
LAC,16,0.9307549496180609,2013,4,7,0,0
LAR,16,0.824590909090909,2013,4,6,0,0
NYJ,16,0.9328121212121212,2013,4,6,0,0
PHI,16,0.9935053738720616,2013,8,8,0,0
SEA,16,0.9893623188405797,2013,9,12,0,0
SF,16,1.0,2013,4,10,0,0
WAS,16,0.9460117647058823,2013,7,3,0,0
ARI,17,1.0026813880126182,2013,11,10,0,0
ATL,17,0.9887544224181501,2013,11,4,0,0
CHI,17,1.0196422764227642,2013,-1,8,0,0
CIN,17,0.9525452186522171,2013,8,10,0,0
DAL,17,1.139575,2013,9,8,0,0
IND,17,0.9851940298507462,2013,4,10,0,0
LAC,17,0.9406612718073724,2013,11,8,0,0
LV,17,0.9187077439035267,2013,12,4,0,0
MIA,17,1.0760799681596913,2013,7,8,0,0
MIN,17,1.0002027416914896,2013,7,-1,0,0
NE,17,1.0288347872929418,2013,6,11,0,0
NO,17,0.9992077368593596,2013,4,10,0,0
NYG,17,0.9718424242424243,2013,3,6,0,0
PIT,17,0.8239912280701754,2013,4,7,0,0
SEA,17,0.9893333333333333,2013,7,12,0,0
TEN,17,1.0,2013,2,6,0,0
ARI,1,0.9667507886435331,2014,0,0,0,0
ATL,1,0.992671421351154,2014,0,0,0,0
BAL,1,0.9988311176205498,2014,0,0,0,0
CHI,1,1.0150406504065042,2014,0,0,0,0
DAL,1,1.139675,2014,0,0,0,0
DEN,1,1.0106929392446633,2014,0,0,0,0
DET,1,0.9907846153846154,2014,0,0,0,0
HOU,1,0.9937690390473553,2014,0,0,0,0
KC,1,0.9627434045226131,2014,0,0,0,0
LAR,1,0.8472575757575758,2014,0,0,0,0
MIA,1,1.0811927869454734,2014,0,0,0,0
NYJ,1,0.9473939393939393,2014,0,0,0,0
PHI,1,1.0,2014,0,0,0,0
PIT,1,0.9444152046783626,2014,0,0,0,0
SEA,1,0.9916521739130435,2014,0,0,0,0
TB,1,0.9021063885116588,2014,0,0,0,0
BAL,2,1.0024363452005407,2014,1,0,0,0
BUF,2,0.9769020221204334,2014,1,1,0,0
CAR,2,0.982889657659583,2014,1,1,0,0
CIN,2,0.894054796611463,2014,1,1,0,0
CLE,2,0.9996440806157405,2014,0,0,0,0
DEN,2,1.0101806239737274,2014,0,1,0,0
GB,2,0.9582519861003671,2014,1,0,0,0
IND,2,0.9682238805970149,2014,1,0,0,0
LAC,2,0.9625147035898017,2014,1,0,0,0
LV,2,0.9644290632748809,2014,1,0,0,0
MIN,2,0.9966682532127559,2014,0,1,0,0
NYG,2,0.9496242424242424,2014,1,0,0,0
SF,2,1.0335620437956203,2014,0,1,0,0
TB,2,0.8657141206044671,2014,0,0,0,0
TEN,2,1.0,2014,0,1,0,0
WAS,2,0.9416117647058824,2014,0,0,0,0
ARI,3,0.971167192429022,2014,1,2,0,0
ATL,3,0.9872241253439659,2014,0,1,0,0
BUF,3,0.9581471343983913,2014,1,2,0,0
CAR,3,0.9876848277612299,2014,1,2,0,0
CIN,3,0.8661069983973136,2014,1,2,0,0
CLE,3,0.9996440806157405,2014,1,1,0,0
DET,3,0.960276923076923,2014,1,1,0,0
JAX,3,0.8933193785194139,2014,0,0,0,0
LAR,3,0.8899848484848485,2014,1,1,0,0
MIA,3,1.0763402014511834,2014,0,1,0,0
NE,3,1.0288347872929418,2014,0,1,0,0
NO,3,0.9972270790077588,2014,1,0,0,0
NYG,3,0.9389333333333333,2014,2,0,0,0
NYJ,3,0.9473939393939393,2014,1,1,0,0
PHI,3,1.0,2014,1,2,0,0
SEA,3,0.9919855072463768,2014,2,1,0,0
BAL,4,1.0029574132492114,2014,2,2,0,0
CHI,4,1.0038373983739837,2014,1,2,0,0
DAL,4,1.1397,2014,1,2,0,0
HOU,4,0.9935751869288286,2014,2,2,0,0
IND,4,0.9665223880597015,2014,1,1,0,0
KC,4,1.0025779941373534,2014,2,1,0,0
LAC,4,0.8014767364408101,2014,0,2,0,0
LV,4,0.9701860465116279,2014,1,0,0,1
MIN,4,0.9932984293193717,2014,2,1,0,0
NYJ,4,0.9473939393939393,2014,2,1,0,0
PIT,4,0.9197368421052632,2014,0,2,0,0
SF,4,1.0335620437956203,2014,3,1,0,0
WAS,4,0.9479176470588235,2014,1,1,0,0
CAR,5,0.9838647201036504,2014,2,2,0,0
DAL,5,1.1394875,2014,3,3,0,0
DEN,5,1.0101149425287357,2014,3,2,0,0
DET,5,0.9657692307692308,2014,2,3,0,0
GB,5,0.9584116108593952,2014,2,2,0,0
IND,5,0.974,2014,3,2,0,0
JAX,5,0.9758247589846398,2014,2,0,0,0
LAC,5,0.8995195646320205,2014,1,3,0,0
NE,5,1.0288347872929418,2014,3,2,0,0
NO,5,0.9972134192984373,2014,1,1,0,0
NYG,5,0.9734181818181818,2014,2,2,0,0
PHI,5,1.0,2014,1,3,0,0
SF,5,1.0335620437956203,2014,2,2,0,0
TEN,5,1.0,2014,1,1,0,0
WAS,5,0.9355529411764706,2014,2,1,0,0
ARI,6,0.9643375394321767,2014,1,3,0,0
ATL,6,0.9927556578873477,2014,2,2,0,0
BUF,6,0.9801279186683052,2014,3,3,0,0
CIN,6,0.870838739220026,2014,0,0,0,0
CLE,6,1.0,2014,3,2,0,0
HOU,6,0.9940044309055663,2014,3,3,0,0
LAR,6,0.8613787878787879,2014,3,1,0,0
LV,6,0.9513352480510908,2014,4,0,0,0
MIA,6,1.0849432079110921,2014,3,2,0,0
MIN,6,0.9940599714421704,2014,3,2,0,0
NYJ,6,0.9473939393939393,2014,3,1,0,0
PHI,6,1.0,2014,3,4,0,0
SEA,6,0.991768115942029,2014,4,3,0,0
TB,6,0.8674188794822156,2014,3,1,0,0
TEN,6,1.0,2014,0,1,0,0
BAL,7,1.0024785939612437,2014,2,4,0,0
BUF,7,0.9562758351022232,2014,2,3,0,0
CHI,7,1.0148455284552846,2014,2,3,0,0
DAL,7,1.13785,2014,3,5,0,0
DEN,7,1.012111658456486,2014,4,4,0,0
DET,7,0.9734,2014,2,4,0,0
GB,7,0.9590501098955072,2014,0,4,0,0
IND,7,0.9931194029850746,2014,0,4,0,0
JAX,7,0.9042277189775642,2014,3,0,0,0
LAC,7,0.9248735136973683,2014,2,5,0,0
LAR,7,0.8765909090909091,2014,3,1,0,0
LV,7,0.9294289740799543,2014,4,0,0,0
NE,7,1.0288347872929418,2014,1,4,0,0
PIT,7,0.8241959064327485,2014,3,3,0,0
WAS,7,0.8850235294117647,2014,2,1,0,0
ARI,8,0.974589905362776,2014,5,5,0,0
ATL,8,0.9713023255813954,2014,5,2,0,1
CAR,8,0.9889804586800593,2014,3,0,0,0
CIN,8,0.8503548805617034,2014,5,-1,0,0
CLE,8,1.0,2014,0,3,0,0
DAL,8,1.0881875,2014,2,6,0,0
DEN,8,1.0102725779967159,2014,5,5,0,0
JAX,8,0.9674960936348359,2014,3,1,0,0
KC,8,0.9941896984924623,2014,2,3,0,0
NE,8,1.0288347872929418,2014,3,5,0,0
NO,8,0.9991530980220741,2014,5,2,0,0
NYJ,8,0.9473939393939393,2014,4,1,0,0
PIT,8,0.9134356725146199,2014,5,4,0,0
TB,8,0.8173740934439019,2014,2,1,0,0
TEN,8,1.0,2014,3,2,0,0
CAR,9,0.9839181481827775,2014,3,0,0,0
CIN,9,0.916690834160116,2014,1,-1,0,0
CLE,9,1.0,2014,1,4,0,0
DAL,9,1.0711,2014,6,6,0,0
HOU,9,0.993907504846303,2014,5,4,0,0
KC,9,0.970045540201005,2014,1,4,0,0
MIA,9,1.074947187949668,2014,5,4,0,0
MIN,9,0.9948024750118991,2014,3,3,0,0
NE,9,1.0288347872929418,2014,6,6,0,0
NYG,9,0.9451515151515152,2014,5,3,0,0
PIT,9,0.9352485380116959,2014,5,5,0,0
SEA,9,0.9903913043478261,2014,0,4,0,0
SF,9,1.0335620437956203,2014,2,4,0,0
ARI,10,0.9678706624605679,2014,3,7,0,0
BAL,10,0.9986762054979721,2014,2,5,0,0
BUF,10,0.9512763936990281,2014,5,5,0,0
CIN,10,1.0054338701060825,2014,5,0,0,0
DET,10,0.9719846153846153,2014,5,6,0,0
GB,10,0.9613339718323695,2014,3,5,0,0
JAX,10,0.9721279069767442,2014,6,1,0,1
LV,10,0.9776299124105821,2014,6,0,0,0
NO,10,0.9989208829636105,2014,4,4,0,0
NYJ,10,0.9473939393939393,2014,6,1,0,0
PHI,10,1.0,2014,0,6,0,0
SEA,10,0.9906086956521739,2014,3,5,0,0
TB,10,0.8343349995665867,2014,2,1,0,0
ARI,11,0.9855993690851735,2014,7,8,0,0
CAR,11,0.979256548278948,2014,3,0,0,0
CHI,11,1.0047479674796749,2014,4,3,0,0
CLE,11,1.0,2014,4,6,0,0
GB,11,0.9610638376247835,2014,7,6,0,0
IND,11,0.9962835820895523,2014,7,6,0,0
KC,11,1.000615054438861,2014,6,6,0,0
LAC,11,0.9455648304304077,2014,0,5,0,0
LAR,11,0.9000151515151515,2014,7,3,0,0
MIA,11,1.095628080702936,2014,5,5,0,0
NO,11,0.9981559392416129,2014,-1,4,0,0
NYG,11,0.9739636363636364,2014,5,3,0,0
TEN,11,1.0,2014,6,2,0,0
WAS,11,0.9110823529411765,2014,1,3,0,0
ATL,12,0.9834054023698545,2014,6,4,0,0
CHI,12,0.9936422764227643,2014,2,4,0,0
DEN,12,1.0113234811165845,2014,6,7,0,0
HOU,12,0.9938659651066186,2014,-1,5,0,0
IND,12,0.9601194029850746,2014,1,6,0,0
LAC,12,0.9359277788013208,2014,4,6,0,0
LV,12,0.9430579588632999,2014,7,0,0,0
MIN,12,0.9973536411232746,2014,7,4,0,0
NE,12,1.0288347872929418,2014,7,8,0,0
NO,12,1.0022538520380286,2014,6,4,0,0
NYG,12,0.976,2014,7,3,0,0
PHI,12,1.0,2014,2,7,0,0
SEA,12,0.9902463768115942,2014,9,6,0,0
SF,12,1.0335620437956203,2014,3,6,0,0
ATL,13,0.9765401246700736,2014,9,4,0,0
BAL,13,1.0007323118521856,2014,7,7,0,0
BUF,13,0.9576583621941682,2014,7,6,0,0
DAL,13,1.1422375,2014,8,8,0,0
DET,13,0.9873076923076923,2014,5,7,0,0
GB,13,0.9630407288712074,2014,9,8,0,0
HOU,13,0.9929936305732484,2014,2,5,0,0
IND,13,0.9754029850746269,2014,3,7,0,0
JAX,13,0.9535511070491465,2014,3,1,0,0
KC,13,1.0062552345058626,2014,8,7,0,0
LAR,13,0.8431818181818181,2014,1,4,0,0
MIN,13,0.9903093764873869,2014,0,4,0,0
NYJ,13,0.9473939393939393,2014,6,2,0,0
PIT,13,0.9052046783625731,2014,4,7,0,0
SF,13,1.0335620437956203,2014,7,7,0,0
TB,13,0.8139501285792713,2014,-1,2,0,0
ARI,14,0.9840220820189275,2014,7,9,0,0
CHI,14,1.0009430894308944,2014,8,5,0,0
CIN,14,0.9999542089597802,2014,7,0,0,0
CLE,14,1.0,2014,8,7,0,0
DEN,14,1.010351395730706,2014,7,9,0,0
DET,14,0.9459846153846154,2014,2,8,0,0
GB,14,0.951756486290689,2014,5,9,0,0
JAX,14,0.9002329078097822,2014,6,2,0,0
LAC,14,0.9752554527288445,2014,9,8,0,0
LV,14,0.9864958881138841,2014,7,1,0,0
MIA,14,1.0752839604445397,2014,7,7,0,0
MIN,14,0.9928986197049025,2014,2,5,0,0
NO,14,0.9972407387170801,2014,-1,5,0,0
PHI,14,1.0,2014,8,9,0,0
TEN,14,1.0,2014,3,2,0,0
WAS,14,0.8367058823529412,2014,5,3,0,0
ATL,15,0.9990593586791711,2014,8,5,0,0
BAL,15,0.9970848355114916,2014,2,8,0,0
BUF,15,0.9805329013518043,2014,10,7,0,0
CAR,15,0.9729520349419637,2014,2,-1,0,0
CHI,15,0.9918048780487805,2014,5,5,0,0
CLE,15,1.0,2014,-1,7,0,0
DET,15,0.9613846153846154,2014,6,9,0,0
IND,15,0.9723582089552238,2014,7,9,0,0
KC,15,0.9442132537688442,2014,2,7,0,0
LAC,15,0.9733705588072732,2014,10,8,0,0
LAR,15,0.8466666666666667,2014,10,6,0,0
NE,15,1.0288347872929418,2014,7,10,0,0
NYG,15,0.9409454545454545,2014,3,4,0,0
PHI,15,1.0,2014,9,9,0,0
SEA,15,0.9931304347826087,2014,7,9,0,0
TEN,15,1.0,2014,2,2,0,0
ARI,16,1.006403785488959,2014,10,11,0,0
CAR,16,0.9858816300906942,2014,7,-1,0,0
CHI,16,0.9986991869918699,2014,10,5,0,0
CIN,16,1.0090360986033733,2014,11,-1,0,0
DAL,16,1.1487375,2014,10,10,0,0
HOU,16,0.99378288562725,2014,9,7,0,0
JAX,16,0.9021787198915062,2014,2,2,0,0
LAR,16,0.8462272727272727,2014,5,6,0,0
LV,16,0.953244019480172,2014,8,2,0,0
MIA,16,1.013424976272847,2014,6,7,0,0
NO,16,0.999398972789859,2014,5,6,0,0
NYJ,16,0.9473939393939393,2014,11,3,0,0
PIT,16,0.8898391812865497,2014,8,9,0,0
SF,16,1.0321021897810219,2014,8,7,0,0
TB,16,0.9281834204975584,2014,10,2,0,0
WAS,16,0.9282,2014,9,3,0,0
ATL,17,0.9970096029651261,2014,-1,6,0,0
BAL,17,1.000873141054529,2014,7,9,0,0
DEN,17,1.0105615763546798,2014,3,11,0,0
GB,17,0.962758315836004,2014,11,11,0,0
HOU,17,0.9938659651066186,2014,3,8,0,0
KC,17,0.9677554438860971,2014,9,8,0,0
MIA,17,1.0749165722683158,2014,3,8,0,0
MIN,17,0.9969347929557354,2014,5,6,0,0
NE,17,1.0288347872929418,2014,8,12,0,0
NYG,17,0.9593939393939394,2014,9,6,0,0
PIT,17,0.9458625730994152,2014,0,10,0,0
SEA,17,0.992072463768116,2014,6,11,0,0
SF,17,1.0321021897810219,2014,11,7,0,0
TB,17,0.8661330867693374,2014,6,2,0,0
TEN,17,1.0,2014,10,2,0,0
WAS,17,0.9517294117647059,2014,11,4,0,0
ARI,1,0.9921608832807571,2015,0,0,0,0
ATL,1,0.9900039310383557,2015,0,0,0,0
BUF,1,0.9819992179644732,2015,0,0,0,0
CHI,1,1.0153170731707317,2015,0,0,0,0
DAL,1,1.1697375,2015,0,0,0,0
DEN,1,1.0088407224958948,2015,0,0,0,0
HOU,1,0.993852118526724,2015,0,0,0,0
JAX,1,0.895265190601138,2015,0,0,0,0
LAC,1,0.9366789019429996,2015,0,0,0,0
LAR,1,0.7847272727272727,2015,0,0,0,0
LV,1,0.972224699859072,2015,0,0,0,0
NE,1,1.0,2015,0,0,0,0
NYJ,1,0.9473939393939393,2015,0,0,0,0
